utc,host_monotonic_seconds,memory_used_mib,gpu_utilization_pct,compute_process_count,compute_process_memory_mib
2026-09-22T09:06:16.787853+00:00,80286.449173544,578,2,2,1100.0
2026-09-22T09:06:17.788063+00:00,80287.449382797,1114,0,2,1100.0
2026-09-22T09:06:18.788299+00:00,80288.449619566,1114,0,2,1100.0
2026-09-22T09:06:19.788573+00:00,80289.449892819,1114,0,2,1100.0
2026-09-22T09:06:20.788795+00:00,80290.450114694,1114,0,2,1100.0
2026-09-22T09:06:21.789049+00:00,80291.450366368,1114,0,2,1100.0
2026-09-22T09:06:22.789292+00:00,80292.450610231,1114,0,2,1100.0
2026-09-22T09:06:23.789511+00:00,80293.450829803,1114,0,2,1100.0
2026-09-22T09:06:24.789783+00:00,80294.451102607,1114,0,2,1100.0
2026-09-22T09:06:25.790009+00:00,80295.451328959,1114,0,2,1100.0
2026-09-22T09:06:26.790240+00:00,80296.451560217,1114,0,2,1100.0
2026-09-22T09:06:27.790464+00:00,80297.451783975,1114,0,2,1100.0
2026-09-22T09:06:28.790725+00:00,80298.452045391,1114,0,2,1100.0
2026-09-22T09:06:29.790906+00:00,80299.452226189,1114,0,2,1100.0
2026-09-22T09:06:30.791111+00:00,80300.452427995,1114,0,2,1100.0
2026-09-22T09:06:31.791330+00:00,80301.452648709,1114,0,2,1100.0
2026-09-22T09:06:32.791506+00:00,80302.452826243,1114,0,2,1100.0
2026-09-22T09:06:33.791782+00:00,80303.453101326,1114,0,2,1100.0
2026-09-22T09:06:34.792024+00:00,80304.453343404,1114,0,2,1100.0
2026-09-22T09:06:35.792230+00:00,80305.453551109,1114,0,2,1100.0
2026-09-22T09:06:36.792433+00:00,80306.453752961,1114,0,2,1100.0
2026-09-22T09:06:37.792741+00:00,80307.454058434,1114,0,2,1100.0
2026-09-22T09:06:38.793047+00:00,80308.454365285,1114,0,2,1100.0
2026-09-22T09:06:39.793297+00:00,80309.454614106,1114,0,2,1100.0
2026-09-22T09:06:40.793554+00:00,80310.454870011,1114,0,2,1100.0
2026-09-22T09:06:41.793765+00:00,80311.45508477,1114,0,2,1100.0
2026-09-22T09:06:42.793986+00:00,80312.455304061,1114,0,2,1100.0
2026-09-22T09:06:43.794191+00:00,80313.455511671,1114,0,2,1100.0
2026-09-22T09:06:44.794334+00:00,80314.455655987,1114,0,2,1100.0
2026-09-22T09:06:45.794568+00:00,80315.455886979,1114,0,2,1100.0
2026-09-22T09:06:46.794769+00:00,80316.456089164,1118,0,2,1104.0
2026-09-22T09:06:47.794961+00:00,80317.456279927,1118,3,2,1104.0
2026-09-22T09:06:48.795183+00:00,80318.456500092,1118,4,2,1104.0
2026-09-22T09:06:49.795404+00:00,80319.456724089,1118,3,2,1104.0
2026-09-22T09:06:50.795584+00:00,80320.456904203,1118,3,2,1104.0
2026-09-22T09:06:51.795859+00:00,80321.457176648,1118,3,2,1104.0
2026-09-22T09:06:52.796096+00:00,80322.457412936,1118,0,2,1104.0
2026-09-22T09:06:53.796284+00:00,80323.45760316,1118,0,2,1104.0
2026-09-22T09:06:54.796489+00:00,80324.457808605,1118,0,2,1104.0
2026-09-22T09:06:55.796826+00:00,80325.458141223,561,0,1,552.0
2026-09-22T09:06:56.797042+00:00,80326.458362669,0,0,0,0
2026-09-22T09:06:57.797309+00:00,80327.458629196,0,0,0,0
2026-09-22T09:06:58.797443+00:00,80328.458766077,0,0,0,0
